"unigram","bigram","freq"
"come","home",23
"come","i",23
"dont","worri",23
"feel","free",23
"find","way",23
"guess","i",23
"havent","seen",23
"hey","i",23
"howev","i",23
"i","forgot",23
"i","move",23
"i","walk",23
"i","write",23
"id","love",23
"im","happi",23
"in","case",23
"it","seem",23
"ive","ever",23
"like","see",23
"mind","i",23
"one","person",23
"realli","dont",23
"reason","i",23
"say","im",23
"spread","word",23
"thank","everyon",23
"tomorrow","i",23
"two","day",23
"way","go",23
"will","see",23
"although","i",22
"can","still",22
"felt","like",22
"follow","me",22
"fun","i",22
"get","one",22
"get","rid",22
"ha","ha",22
"happi","new",22
"i","final",22
"its","good",22
"its","like",22
"just","made",22
"look","back",22
"my","mom",22
"new","one",22
"ok","i",22
"omg","i",22
"real","life",22
"some","peopl",22
"thing","go",22
"two","year",22
"anyon","know",21
"ask","i",21
"can","say",21
"come","see",21
"dont","give",21
"follow","thank",21
"happi","hour",21
"home","i",21
"i","keep",21
"i","spent",21
"i","usual",21
"ice","cream",21
"im","excit",21
"im","tire",21
"im","work",21
"it","doesnt",21
"know","what",21
"late","night",21
"littl","girl",21
"look","great",21
"los","angele",21
"much","love",21
"now","that",21
"one","best",21
"peopl","like",21
"pleas","pleas",21
"realiz","i",21
"say","hi",21
"soon","i",21
"the","next",21
"the","one",21
"there","lot",21
"there","mani",21
"think","that",21
"tri","find",21
"we","just",21
"will","alway",21
"will","continu",21
"will","follow",21
"anyth","i",20
"away","i",20
"day","the",20
"find","i",20
"first","i",20
"get","see",20
"got","back",20
"great","i",20
"great","idea",20
"hard","work",20
"how","can",20
"hunger","game",20
"i","appreci",20
"i","mention",20
"i","play",20
"if","want",20
"job","i",20
"kid","i",20
"least","i",20
"mayb","i",20
"miss","i",20
"never","seen",20
"new","zealand",20
"r","u",20
"so","mani",20
"someon","els",20
"thank","u",20
"the","thing",20
"thought","id",20
"tonight","pm",20
"u","r",20
"walk","around",20
"want","hear",20
"weekend","i",20
"would","love",20
"yesterday","i",20
"anyth","els",19
"awkward","moment",19
"boy","i",19
"bring","back",19
"can","never",19
"chanc","win",19
"day","day",19
"day","im",19
"feel","i",19
"first","place",19
"friend","famili",19
"get","new",19
"glad","i",19
"go","home",19
"good","job",19
"good","news",19
"haha","i",19
"happi","i",19
"he","also",19
"hous","i",19
"i","bet",19
"i","done",19
"i","finish",19
"i","fuck",19
"i","idea",19
"i","pray",19
"i","prefer",19
"i","stop",19
"i","thank",19
"im","also",19
"in","the",19
"it","look",19
"its","hard",19
"last","tweet",19
"like","good",19
"lol","thank",19
"need","go",19
"one","time",19
"peopl","just",19
"rt","rt",19
"show","i",19
"show","us",19
"so","far",19
"social","network",19
"someth","like",19
"south","africa",19
"ten","year",19
"thank","support",19
"that","good",19
"u","know",19
"wanna","go",19
"will","ever",19
"year","now",19
"yet","i",19
"you","need",19
"amaz","i",18
"back","home",18
"bad","i",18
"blog","post",18
"brand","new",18
"cant","help",18
"cant","sleep",18
"cell","phone",18
"do","i",18
"dont","understand",18
"els","i",18
"end","day",18
"ever","sinc",18
"everyon","els",18
"food","food",18
"get","start",18
"get","togeth",18
"god","i",18
"great","thing",18
"hope","get",18
"hope","will",18
"i","ad",18
"i","notic",18
"i","understand",18
"idea","i",18
"if","u",18
"it","realli",18
"it","wasnt",18
"jesus","christ",18
"just","make",18
"just","take",18
"just","tri",18
"know","just",18
"know","u",18
"long","day",18
"lot","peopl",18
"mani","year",18
"me","i",18
"need","i",18
"never","heard",18
"new","follow",18
"no","matter",18
"oh","well",18
"one","the",18
"one","two",18
"peopl","can",18
"peopl","say",18
"point","i",18
"read","book",18
"realli","enjoy",18
"realli","i",18
"rt","thank",18
"rt","the",18
"see","us",18
"so","excit",18
"start","get",18
"super","bowl",18
"take","place",18
"thank","mention",18
"there","noth",18
"they","dont",18
"this","one",18
"today","thank",18
"twitter","i",18
"u","can",18
"u","i",18
"want","i",18
"want","make",18
"way","back",18
"will","also",18
"word","i",18
"yes","yes",18
"you","go",18
"you","guy",18
"your","go",18
"abl","get",17
"admit","i",17
"also","i",17
"around","i",17
"back","forth",17
"bad","thing",17
"can","imagin",17
"cant","find",17
"cant","go",17
"card","i",17
"cool","i",17
"dont","believ",17
"dont","let",17
"everi","singl",17
"everyth","els",17
"final","get",17
"friday","night",17
"get","much",17
"god","bless",17
"good","enough",17
"good","friend",17
"good","work",17
"hope","u",17
"i","admit",17
"i","almost",17
"i","alreadi",17
"i","eat",17
"i","gave",17
"i","gotta",17
"i","littl",17
"i","woke",17
"ill","take",17
"im","good",17
"im","think",17
"it","will",17
"its","time",17
"just","keep",17
"just","look",17
"just","love",17
"keep","eye",17
"know","your",17
"live","i",17
"make","differ",17
"minut","i",17
"name","i",17
"never","get",17
"never","know",17
"now","time",17
"okay","i",17
"peopl","want",17
"phone","call",17
"pictur","i",17
"put","togeth",17
"read","i",17
"saturday","morn",17
"she","said",17
"that","awesom",17
"the","man",17
"there","also",17
"time","im",17
"time","the",17
"time","time",17
"tri","make",17
"turn","around",17
"we","also",17
"we","know",17
"we","want",17
"well","that",17
"will","give",17
"will","post",17
"work","togeth",17
"yea","i",17
"you","cant",17
"your","just",17
"along","way",16
"at","point",16
"best","way",16
"cant","say",16
"cant","see",16
"caus","i",16
"day","ago",16
"dont","see",16
"dont","wanna",16
"end","i",16
"even","better",16
"famili","friend",16
"famili","i",16
"far","i",16
"forward","see",16
"get","work",16
"good","see",16
"great","work",16
"hard","time",16
"head","back",16
"help","i",16
"holi","spirit",16
"hour","i",16
"i","figur",16
"i","glad",16
"i","listen",16
"i","post",16
"i","seen",16
"i","tweet",16
"im","alway",16
"im","tri",16
"it","took",16
"its","go",16
"its","just",16
"just","littl",16
"know","go",16
"last","minut",16
"least","one",16
"leav","comment",16
"live","life",16
"lot","fun",16
"love","one",16
"love","song",16
"make","good",16
"make","happen",16
"make","us",16
"moment","i",16
"month","ago",16
"much","time",16
"my","first",16
"new","album",16
"north","carolina",16
"oh","yeah",16
"old","friend",16
"prime","minist",16
"realli","love",16
"rememb","i",16
"rt","if",16
"said","the",16
"saturday","night",16
"start","i",16
"stay","home",16
"stuff","i",16
"talk","i",16
"th","anniversari",16
"thank","share",16
"think","can",16
"this","time",16
"tweet","i",16
"wall","street",16
"we","dont",16
"well","done",16
"what","great",16
"will","find",16
"wonder","i",16
"year","the",16
"youd","like",16
"best","i",15
"best","part",15
"but","im",15
"can","just",15
"cant","even",15
"chang","i",15
"cinco","de",15
"day","just",15
"day","thank",15
"day","week",15
"did","know",15
"didnt","go",15
"didnt","see",15
"doesnt","seem",15
"done","i",15
"famili","member",15
"get","follow",15
"go","good",15
"go","school",15
"go","sleep",15
"go","well",15
"good","look",15
"guy","i",15
"hard","i",15
"have","fun",15
"health","care",15
"hope","enjoy",15
"hope","well",15
"i","check",15
"i","end",15
"i","first",15
"i","often",15
"i","share",15
"i","total",15
"im","hope",15
"im","look",15
"it","great",15
"just","let",15
"justin","bieber",15
"late","i",15
"let","see",15
"like","go",15
"long","enough",15
"long","i",15
"love","im",15
"love","life",15
"love","much",15
"love","the",15
"merri","christma",15
"month","i",15
"my","friend",15
"need","help",15
"need","new",15
"never","realli",15
"new","book",15
"new","song",15
"nice","see",15
"oh","god",15
"oliv","oil",15
"on","way",15
"one","anoth",15
"peopl","make",15
"play","game",15
"pleas","i",15
"rest","day",15
"right","back",15
"room","i",15
"sad","i",15
"see","one",15
"see","the",15
"so","glad",15
"so","good",15
"sound","good",15
"sure","will",15
"thank","good",15
"thank","love",15
"thank","thank",15
"that","said",15
"the","fact",15
"there","just",15
"three","year",15
"told","i",15
"u","guy",15
"us","i",15
"us","we",15
"wait","get",15
"we","got",15
"what","good",15
"will","becom",15
"will","miss",15
"will","probabl",15
"work","just",15
"write","i",15
"year","later",15
"alway","want",14
"and","that",14
"awesom","i",14
"call","the",14
"can","chang",14
"can","give",14
"comment","i",14
"day","get",14
"day","life",14
"day","today",14
"de","mayo",14
"did","i",14
"didnt","think",14
"doe","anyon",14
"dont","go",14
"enough","i",14
"ever","seen",14
"everi","one",14
"fall","love",14
"five","year",14
"friend","mine",14
"front","door",14
"game","i",14
"get","away",14
"get","caught",14
"get","job",14
"god","love",14
"gonna","get",14
"gonna","go",14
"good","way",14
"great","see",14
"great","show",14
"harri","potter",14
"hate","i",14
"head","i",14
"i","buy",14
"i","complet",14
"i","consid",14
"i","grew",14
"i","lot",14
"i","pick",14
"i","probabl",14
"i","rather",14
"i","spend",14
"ill","get",14
"im","bore",14
"it","take",14
"just","found",14
"know","can",14
"know","mani",14
"let","make",14
"lol","rt",14
"love","hear",14
"mad","men",14
"make","fun",14
"make","look",14
"might","just",14
"new","jersey",14
"next","month",14
"next","weekend",14
"one","step",14
"one","want",14
"one","way",14
"past","week",14
"pay","attent",14
"peopl","get",14
"realli","think",14
"say","hello",14
"second","time",14
"see","new",14
"see","soon",14
"she","also",14
"smell","like",14
"so","happi",14
"star","war",14
"start","pm",14
"take","long",14
"take","one",14
"tell","i",14
"thank","great",14
"that","great",14
"the","problem",14
"the","stori",14
"there","much",14
"there","someth",14
"there","will",14
"thing","can",14
"this","mean",14
"this","year",14
"today","good",14
"tomorrow","night",14
"took","place",14
"u","think",14
"valentin","day",14
"wait","i",14
"walk","away",14
"wast","time",14
"we","can",14
"we","cant",14
"we","hope",14
"we","look",14
"we","still",14
"well","see",14
"what","go",14
"while","i",14
"will","let",14
"will","work",14
"york","citi",14
"you","like",14
"you","want",14
"alway","love",13
"and","now",13
"answer","question",13
"anyway","i",13
"at","time",13
"beauti","day",13
"busi","i",13
"can","alway",13
"can","start",13
"can","think",13
"cant","just",13
"cant","stop",13
"care","i",13
"come","get",13
"coupl","week",13
"cuz","i",13
"day","ill",13
"day","later",13
"day","long",13
"day","now",13
"dont","i",13
"dont","make",13
"even","get",13
"everi","night",13
"everi","year",13
"excit","i",13
"face","i",13
"farmer","market",13
"feel","much",13
"first","one",13
"first","thing",13
"get","involv",13
"get","right",13
"got","new",13
"gotta","get",13
"great","meet",13
"happi","easter",13
"happi","thanksgiv",13
"hell","i",13
"help","get",13
"how","much",13
"i","aint",13
"i","ate",13
"i","fell",13
"i","have",13
"i","let",13
"i","pretti",13
"i","pull",13
"i","receiv",13
"i","recommend",13
"i","right",13
"i","shall",13
"i","show",13
"i","visit",13
"id","say",13
"if","like",13
"ill","tri",13
"im","watch",13
"in","one",13
"its","alway",13
"ive","alway",13
"ive","heard",13
"just","ask",13
"just","much",13
"keep","mind",13
"know","will",13
"last","two",13
"let","just",13
"live","room",13
"lol","just",13
"love","just",13
"love","new",13
"make","great",13
"mani","way",13
"mention","i",13
"mom","i",13
"money","i",13
"move","forward",13
"my","favorit",13
"my","mother",13
"new","job",13
"now","know",13
"of","the",13
"one","direct",13
"one","love",13
"one","right",13
"peopl","think",13
"public","school",13
"real","estat",13
"realli","care",13
"sever","time",13
"shit","i",13
"show","tonight",13
"smile","i",13
"so","let",13
"someth","els",13
"spring","break",13
"st","loui",13
"start","new",13
"stori","i",13
"sunday","night",13
"thank","come",13
"thank","ff",13
"that","realli",13
"the","book",13
"the","citi",13
"the","great",13
"the","second",13
"the","way",13
"the","world",13
"think","ive",13
"think","just",13
"think","will",13
"time","last",13
"to","make",13
"u","get",13
"u","got",13
"video","game",13
"wanna","see",13
"want","one",13
"watch","movi",13
"we","go",13
"went","back",13
"weve","got",13
"what","think",13
"when","come",13
"when","im",13
"who","want",13
"will","abl",13
"will","look",13
"work","well",13
"year","im",13
"yet","anoth",13
"you","see",13
"young","peopl",13
"your","right",13
"a","littl",12
"act","like",12
"age","i",12
"allow","us",12
"around","hous",12
"back","sleep",12
"be","sure",12
"bed","i",12
"big","thank",12
"birthday","i",12
"book","the",12
"came","across",12
"came","i",12
"cant","tell",12
"check","new",12
"check","us",12
"click","link",12
"couldnt","get",12
"day","everyon",12
"day","one",12
"day","will",12
"decid","go",12
"do","know",12
"eat","i",12
"email","address",12
"even","go",12
"find","someth",12
"gave","us",12
"get","chanc",12
"get","free",12
"get","good",12
"get","home",12
"get","marri",12
"get","paid",12
"get","tire",12
"gift","card",12
"go","away",12
"go","make",12
"god","will",12
"great","night",12
"great","way",12
"great","week",12
"hand","i",12
"hes","just",12
"hope","great",12
"hour","day",12
"i","add",12
"i","choos",12
"i","discov",12
"i","dream",12
"i","high",12
"i","honest",12
"i","leav",12
"i","lost",12
"i","recent",12
"i","refus",12
"i","wake",12
"id","never",12
"im","feel",12
"im","like",12
"im","proud",12
"im","start",12
"im","talk",12
"iron","man",12
"its","great",12
"ive","done",12
"ive","just",12
"ive","learn",12
"just","call",12
"just","follow",12
"keep","good",12
"kind","word",12
"knew","i",12
"know","right",12
"last","nite",12
"life","the",12
"like","lot",12
"like","much",12
"like","new",12
"live","music",12
"lol","you",12
"love","rt",12
"love","thank",12
"made","day",12
"make","i",12
"make","one",12
"mani","thing",12
"may","th",12
"middl","school",12
"mitt","romney",12
"music","video",12
"new","music",12
"nice","meet",12
"noth","like",12
"now","can",12
"one","night",12
"one","will",12
"one","year",12
"part","i",12
"peopl","will",12
"question","i",12
"readi","go",12
"realli","excit",12
"realli","just",12
"right","wrong",12
"run","run",12
"s","s",12
"see","im",12
"see","mani",12
"send","messag",12
"short","stori",12
"sleep","i",12
"so","im",12
"still","cant",12
"still","need",12
"summer","i",12
"sure","im",12
"thank","help",12
